,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f479,-0.977585193,-0.974275284,0.343021053,-0.97031227,0.089552239,-0.981174098,0.097014925,-0.044776119,-0.97587,-0.104477612
f480,-0.479646513,-0.541306963,-0.918900801,-0.592798614,-0.955555556,-0.521235691,-1,-1,-0.421511096,-1
f481,0.085106383,0.085106383,0.085106383,-0.014184397,0.178861789,0.085106383,0.024390244,-0.089430894,-0.730496454,-0.097560976
f482,-0.176470588,-0.176470588,-0.176470588,-0.705882353,-1,-0.176470588,-0.603773585,-0.698113208,-0.941176471,-0.830188679
f483,-0.185185185,-0.185185185,-0.185185185,-0.703703704,-0.318518519,-0.185185185,-0.392592593,-0.140740741,-0.925925926,-0.466666667
f484,0.111111111,0.111111111,0.111111111,-0.555555556,-0.947733074,0.111111111,-0.922612536,-0.934362465,-1,-0.939953811
f485,0.230769231,0.230769231,0.230769231,0.431952663,-0.947733074,0.230769231,-0.922612536,-0.940358981,-0.585798817,-0.939953811
f486,-0.989235616,-0.985195756,-0.983888366,-0.988414246,-1,-0.984703036,-1,-0.647619048,-0.983563773,-1
f487,-0.845947666,-0.689409162,-0.792631993,-0.690806549,-1,-0.791959306,-1,-1,-0.536331184,-1
f488,-0.976501413,-0.973009105,-0.979174967,-0.978635538,-1,-0.985269858,-1,-1,-0.951990562,-1
f489,-0.692715232,-0.637086093,-0.800441501,-0.824282561,-1,-0.838410596,-1,-1,-0.423399558,-1
f490,-0.955456904,-0.971436081,-0.990360566,-0.915727453,-1,-0.956675895,-0.442967838,-0.509737918,-0.997241817,-0.443336733
f491,-0.839009288,-0.885824186,-0.973426213,-0.934937611,-0.61634871,-0.944084811,-0.419358528,-0.649549302,-0.951543297,-0.475061744
f492,-0.997097062,-0.998429168,-0.99967915,-0.997424142,-0.576876894,-0.999248425,-0.478750699,-0.481332967,-0.999030372,-0.394273636
f493,-0.97588286,-0.986218777,-0.998851565,-0.977605512,-1,-0.993683606,-0.478381803,-0.40939835,-0.987367212,-0.345579433
f494,-0.836383612,-0.776993518,-0.758621098,-0.821660063,-1,-0.768720312,-0.473217267,-0.448870165,-0.754194186,-0.411242827
f495,-0.992462435,-0.986121516,-0.991045063,-0.986488313,-1,-0.990832715,-0.473955057,-0.506048963,-0.980045703,-0.496826577
f496,-0.988326613,-0.987135351,-0.990348851,-0.989406333,-1,-0.993011713,-0.485390817,-0.531133856,-0.977679531,-0.4215719
f497,-0.806930693,-0.784653465,-0.887128713,-0.882178218,-1,-0.903960396,-0.441861151,-0.498302159,-0.665841584,-0.425260855
