,or4246,or2615,or351
f433,0.416085318,0.026808863,-0.395348837
f434,0.92069937,0.344348205,-0.545454545
f435,1,0.21540765,-0.272727273
f436,0.46292142,-0.252445817,-0.652173913
f437,0.368224882,-0.81382733,0.121857923
f438,0.833672201,0.242222011,0.463192182
f439,0.950962893,-0.59773473,-0.347150259
f440,0.440208071,-0.439367177,-0.26199262
f441,0.581846326,0.222526987,0.31713011
f442,0.542402732,-0.068036079,0.529083345
f443,0.791894396,0.218638939,-0.380672192
f444,0.913161444,0.126488517,-0.154892352
f445,0.869575057,0.103806023,1
f446,0.286986756,-0.411438249,-0.993537667
f447,0.286986756,-0.411438249,0.963091483
f448,0.286986756,-0.411438249,0.483571192
f449,0.286986756,-0.411438249,-0.171229625
f450,0.286986756,-0.411438249,0.4398319
f451,0.286986756,-0.411438249,0.291222152
f452,0.286986756,-0.411438249,-0.489413293
f453,0.286986756,-0.411438249,-1
f454,0.286986756,-0.411438249,-1
f455,0.286986756,-0.411438249,1
f456,0.286986756,-0.411438249,-0.916983759
f457,0.286986756,-0.411438249,0.191247601
f458,-0.123958633,-0.092023365,-0.966751814
f459,0.309859155,-0.120336051,0.479713604
f460,-0.590384323,-0.548534103,0.233333333
f461,0.941332853,-0.156911338,-0.442724458
f462,-0.678637525,-0.691900943,0.978378378
f463,0.962773523,0.338913202,0.52238806
f464,-0.579240667,-0.549111997,0.067191372
f465,0.946241564,-0.15982727,0.037245049
f466,-0.939022292,-0.7502778,-0.067567568
f467,-0.939720156,-0.733241825,-1
f468,-0.595611609,-0.6228618,-1
f469,-0.635426194,-0.636315364,1
f470,-0.455549254,-0.708146088,-0.530918085
f471,-0.621921802,-0.802700336,-0.52886161
f472,-0.077203688,-0.062337801,-1
f473,0.212209018,0.102342199,-1
f474,0.098202685,-0.109024421,-1
f475,0.382828208,0.167180225,-1
f476,-0.119767597,-0.258604204,-0.993242507
f477,-0.564044547,-0.564495299,-0.512790348
f478,-0.990193467,-0.796910212,-0.997778782
f479,-0.979265511,-0.757013346,-0.410447761
f480,-0.402805499,-0.593582585,-1
f481,1,0.085106383,-0.430894309
f482,1,-0.176470588,-0.830188679
f483,1,-0.185185185,-0.57037037
f484,1,0.111111111,-0.967181233
f485,1,0.230769231,-0.967181233
f486,-0.973590394,-0.989235616,-1
f487,-0.768397912,-0.845947666,-1
f488,-0.985978822,-0.976501413,-1
f489,-0.916997792,-0.692715232,-1
f490,-0.786676132,-0.955456904,-0.470266103
f491,-0.845975232,-0.839009288,-0.536298392
f492,-0.995011965,-0.997097062,-0.496457681
f493,-0.924203273,-0.97588286,-0.445919002
f494,-0.592167912,-0.836383612,-0.424154169
f495,-0.989219454,-0.992462435,-0.622619933
f496,-0.992031228,-0.988326613,-0.446287897
f497,-0.888118812,-0.806930693,-0.426736437
f498,-0.997661659,-0.9997962,-0.435958824
f499,-0.996224391,-0.9913533,-0.422309691
f500,-1,-0.996472705,-0.421940796
f501,-0.983987594,-0.984235716,-0.430794287
f502,-0.992981123,-0.991123283,-0.509658802
f503,-0.898145533,-1,-0.673637043
f504,-0.980700861,-0.997129992,-0.976742068
f505,-1,-1,-0.995829088
f506,-0.984063564,-0.999556654,-0.978278431
f507,-0.997020549,-0.98496359,-0.988861619
f508,-0.99660037,-0.996359425,-1
f509,-0.542509485,-0.68818764,-0.878334113
f510,-0.865725519,-0.794454598,-0.989131223
f511,-0.998350694,-0.996137795,-0.993946632
f512,-0.966294085,-0.96027685,-0.976873557
f513,-0.942354763,-0.976873557,-0.96027685
f514,-0.991342216,-0.993946632,-0.996137795
f515,-0.992580491,-0.989131223,-0.794454598
f516,-0.929496178,-0.878334113,-0.68818764
f517,-0.979708406,-1,-0.996359425
