,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f353,-1,-1,-1,-0.292184393,-0.409564902,-0.560923692,-1,-0.076764184,-0.99336736,-0.91231244,-0.369191312,-1,-1,-0.295833595,-1,0.082444162,-0.232885165,-1,-0.959202021,-0.420713774,-0.238922808
f354,-1,-0.999963134,-1,-0.601295195,-0.92720259,-0.878427462,-1,-0.509455404,-0.999523997,-0.965413337,-0.543364109,-0.999734349,-1,-0.701943123,-1,-0.757746421,-0.735207552,-0.99985579,-0.999936027,-0.77561404,-0.47745618
f355,-1,-1,-1,-0.717960926,-0.896174123,-0.884025594,-1,-0.655945473,-0.999537831,-1,-0.708592774,-1,-1,-0.761435867,-1,-0.770498357,-0.77506166,-1,-1,-0.814245026,-0.652143607
f356,-1,-1,-1,-0.580154965,-0.513546555,-0.584318188,-1,-1,-0.967487166,-1,-0.674225828,-1,-1,-0.6303122,-1,-0.529475368,-0.636741266,-1,-1,-0.591182245,-0.504691276
f357,-0.984131509,-0.995440278,-1,-0.583204396,-0.648053616,-0.583585064,-0.981354074,-0.125765001,-0.999344549,-0.946440102,-0.713267237,-0.998593325,-0.998151869,-0.712196843,-0.982398605,-0.461166944,-0.618561462,-0.994504989,-0.974317707,-0.578583875,-0.426114024
f358,-1,-1,-1,-0.815078181,-0.912839692,-0.87233368,-0.996280004,-0.806672281,-0.996330616,-0.998346668,-0.873317287,-1,-1,-0.8337022,-0.997646533,-0.793458831,-0.8395631,-0.998945579,-0.999502313,-0.82521358,-0.725693629
f359,-0.945825367,-0.6436759,-1,-0.547706133,-0.747848573,-0.737007007,-0.898078979,-0.405957323,-0.88525181,-0.585056959,-0.688224065,-0.879488135,-0.970062609,-0.596247032,-0.758990929,-0.533441727,-0.649672794,-0.438062487,0.165943255,-0.702897181,-0.651007713
f360,-1,-0.591472886,-1,-0.674428491,-0.678992359,-0.731684222,-0.91115229,-0.40523828,-0.885887325,-0.532846715,-0.64726592,-0.878948122,-0.999397377,-0.787457481,-0.804897818,-0.426213849,-0.588843411,-0.320964498,0.327557193,-0.634973571,-0.484541875
f361,-0.823619955,-0.778103038,-1,-0.771097187,-0.861378478,-0.834033165,-0.863091284,-0.704940079,-0.911909412,-0.834525879,-0.793785411,-0.851700123,-0.920452783,-0.78382906,-0.695596664,-0.771656169,-0.825992432,-0.812316296,-0.521149616,-0.855329615,-0.717091723
f362,-1,-0.55510606,-1,-0.241474343,-0.130961526,-0.34902782,-0.795479355,-0.342615143,-0.948971511,-0.712857724,-0.416443204,-0.786232582,-0.999143817,0.188011415,-0.799974315,-0.149264434,-0.021402639,-0.594169396,-0.152957041,-0.28337815,-0.117657005
f363,-1,-0.616635517,-1,-0.07485773,-0.095430071,-0.205592374,-0.920352343,-0.320802331,-0.883340105,-0.515600267,-0.432160501,-0.900274658,-0.992676862,0.479076923,-0.803757456,-0.402618722,-0.027392197,-0.329118656,0.355443598,-0.346812809,-0.289066466
f364,-1,-0.626861257,-1,-0.911872705,-0.914341085,-0.923856048,-0.935213145,-0.952638939,-0.884650014,-0.539662934,-0.961021731,-0.901877103,-0.999479937,-0.923148479,-0.819908664,-0.958139535,-0.92120383,-0.329118656,0.303473046,-0.940930894,-0.933697518
f365,-0.765658611,-0.993926357,-1,-0.908567038,-1,-1,-0.999746932,-0.984068408,-1,-0.717575604,-0.866315663,-0.995697836,-0.759584968,-0.963316489,-0.892192838,-0.832522303,-0.976746288,-0.999493863,-0.823358218,-0.895193695,-0.975995689
f366,-1,0.6174,-1,-0.483253588,-0.575757574,-0.692839003,0.1748,-0.832354729,0.5284,0.755,-0.721013412,0.244,-0.6322,-0.756643358,0.2242,-0.948051948,-0.625105543,0.7948,0.7478,-0.692745377,-0.58267236
f367,-1,0.6934,-1,-0.960671838,-1,-1,0.352,-0.979729454,0.8742,0.827,-0.973745212,0.5028,0.6,-0.966226584,0.7114,-0.913642378,-0.956467485,0.8318,0.8204,-0.969949804,-0.940140668
f368,-0.996520613,-0.974523245,-1,-0.785747766,-0.709241884,-0.891615847,-0.98156506,-0.725188006,-0.977961112,-0.910133819,-0.837254411,-0.974714238,-0.975087919,-0.772346187,-0.923245878,-0.695741953,-0.609615642,-0.941381873,-0.936142032,-0.642345238,-0.697346176
f369,-0.997409144,-0.980684833,-1,-0.545796308,-1,-0.725515488,-0.9863897,-0.506681514,-0.988598571,-0.936515713,-0.933979134,-0.979638526,-0.998754396,-0.886410257,-0.972065253,-0.920093794,-0.58854489,-0.957284085,-0.985351696,-0.639092201,-0.189139718
f370,-0.958427586,-1,-1,-0.396753729,-0.699838895,-0.731598697,-0.926482759,-0.580526259,-0.98337931,-0.646937931,-0.575790362,-0.963724138,-0.986206897,-0.272329481,-0.980689655,-0.642701037,-0.726487815,-0.977048276,-0.806358621,-0.796179299,-0.651970385
f371,-0.998287526,-1,-1,-0.919038084,-0.929952744,-0.945607995,-0.946524335,-0.90759886,-0.99006135,-0.990265849,-0.93137177,-0.991860941,-0.947648262,-0.904724141,-0.997562372,-0.894216348,-0.924818888,-0.871779141,-0.925669121,-0.93742975,-0.926247928
f372,-0.844493603,-0.617069736,-1,-0.716722912,-1,-1,0.099953887,-0.940783452,-0.614716128,-0.454667024,-0.734226217,-0.810517395,-0.896059872,0.631990869,0.307675243,-0.49193768,-0.407346808,-0.373227939,-0.090658474,-0.041643266,-1
f373,-0.96451615,-0.890401056,-1,-0.763984962,-0.788069057,-0.63466015,-0.861011886,-0.743659984,-0.830410004,-0.862948855,-0.845622952,-0.883125258,-0.907503169,-0.463418804,-0.597683973,-0.792394181,-0.850176728,-0.859314427,-0.719136569,-0.929301802,-0.841996643
f374,-0.964286129,-0.887346949,-1,-0.969018993,-0.967346928,-0.948320393,-0.858362586,-0.93104847,-0.833666684,-0.863264059,-0.956428011,-0.885141806,-0.908153385,-0.916619653,-0.595848441,-0.912794201,-0.955178511,-0.856153916,-0.720222904,-0.96060803,-0.951916592
f375,-0.996593047,-0.987869764,-1,-0.539473684,-0.499508102,-0.482625698,-0.976308548,-0.421603564,-0.968893259,-0.978129824,-0.469836066,-0.982348143,-0.97334923,-0.129935898,-0.870876181,-0.513888889,-0.438699691,-0.985327497,-0.946105047,-0.571337127,-0.338171141
f376,-1,-1,-1,-0.660087719,-0.612798998,-0.201908757,-1,-0.939587978,-0.88555443,-0.956774751,-0.733196719,-1,-1,-0.07264957,-0.999191484,-0.390046301,-0.482133642,-1,-1,-0.472676628,-0.575223712
