,or3867,or4150,or2169,or3018,or3584,or2735,or68,or3301,or351,or2452,or2615,or188,or1603,or4433,or2049,or1982,or754
f74,-0.29286156,0.349383492,-0.031912419,-0.274368902,-0.210834738,-0.220510626,-0.271153807,0.294020234,-0.157206754,-0.160744162,-0.852982473,-0.684693393,-0.215240886,0.110645624,0.500826807,1,-0.604528739
f75,-1,-1,-0.141736292,-1,-1,-1,0.045664429,-1,0.135667357,-1,0.952812015,-0.550301095,-0.419046668,-1,0.700777613,1,-0.465339218
f76,0.900152429,0.750702247,-0.797752809,-1,-1,-1,0.483146067,-1,0.483146067,-1,-1,-0.797752809,-0.797752809,0.48110741,0.483146067,1,-0.797752809
f77,-1,-1,-0.009501188,-1,-1,-1,0.717339667,-1,0.722090261,-1,-1,-0.282660333,-0.125890736,-1,1,0.553444181,-0.228028504
f78,-1,-1,-0.692446857,-1,-1,-1,-0.340569878,-1,-0.33966531,-1,-0.561047127,-0.698778833,-0.69063772,-1,-0.368611488,-0.148801447,-0.700587969
f79,1,0.842696629,-0.858490566,0.024312001,0.860753826,0.10033917,-0.075471698,0.243565648,-0.150943396,0.184706429,-0.242199984,-0.858490566,-0.858490566,0.66106441,-0.150943396,0.047169811,-0.849056604
f80,1,0.842696629,-0.84923537,0.001683606,0.819647335,0.076031236,0.187819213,0.216093653,0.193119069,0.158534711,-0.22684018,-0.884853958,-0.84923537,0.658808245,0.252661031,0.958548609,-0.867888496
f81,0.837694011,0.632686416,-0.122916524,0.423761423,1,0.529436786,0.132016371,0.331357811,0.152182363,0.646704626,-0.04003663,-0.129318426,-0.254864303,0.611475971,0.410293344,0.629535633,-0.352493312
f82,0.177738429,0.050103851,0.293589644,0.260473239,0.262962744,0.354028933,0.019908692,0.178667211,0.060323005,0.457847572,0.993919215,-0.530813703,0.123221649,-0.111604145,0.314371622,0.232724981,-0.135226557
f83,0.848108663,0.66292135,-0.578066201,0.434292948,1,0.540749995,0.279778819,0.341205831,0.250441594,0.658885253,-0.721039173,-0.70079103,-0.595115583,0.550055783,0.253359957,0.171952999,-0.649950081
f84,-0.048780494,-0.123595513,-0.82619001,-0.942199103,-0.949806944,-0.937908973,-0.041700362,-0.945950439,-0.045152613,-0.933148206,-0.51934608,-0.85704841,-0.82619001,-0.258555142,-0.026402631,0.133450804,-0.834151943
f85,1,0.80138056,-0.219512195,0.499234472,0.967761483,0.610511653,-0.024878049,0.401932584,-0.065528455,0.733995809,-0.202636883,-0.415284553,-0.317073171,0.64282426,-0.008130081,-0.25203252,-0.384227642
f86,-0.935560283,-0.940628575,0.39869281,-0.935464573,-0.928635617,-0.930674581,-0.031111111,-0.93965299,0.010849673,-0.925359133,-0.92069368,-0.107058824,0.254901961,-0.949771323,0.08496732,0.22875817,0.036862745
f87,0.840622884,0.662848808,-0.651081433,0.348791711,1,0.448902632,-0.009306765,0.261253717,-0.077411492,0.559995597,-0.299292855,-0.489152239,-0.651081433,0.519642022,-0.176013957,0.047555075,-0.651081433
f88,-0.443656603,-0.487413956,-0.760860471,-0.821498429,-0.798986491,-0.80824957,-0.126524104,-0.83308337,-0.19554607,-0.793547322,-0.836139436,-0.805575597,-0.762121589,-0.566348301,-0.654405122,-0.536072223,-0.776454682
f89,-1,-1,-0.866268153,-1,-1,-1,0.005315335,-1,0.005769683,-1,0.552263175,-0.878458936,-0.866268153,-1,-0.07828486,0.30088297,-0.866268153
f90,-0.497213917,-0.536758886,-0.788307898,-1,-1,-1,-0.688983404,-1,-0.814427487,-1,-1,-0.780868985,-0.788307898,-0.608094497,-0.689859061,-0.632090735,-0.779834876
f91,-1,-1,-0.856283981,-1,-1,-1,-0.858156503,-1,-0.869899887,-1,-1,-0.850867044,-0.856283981,-1,-0.883622794,-0.866435722,-0.851428801
f92,-1,-1,-1,-1,-1,-1,-0.257575758,-1,-0.136363636,-1,-0.787493639,-0.333333333,-1,-1,-0.393939394,0.863636364,-1
f93,0.833829264,0.663153805,0.15936154,0.439595468,1,0.546446084,0.809399544,0.346164214,0.820344565,0.665018083,-0.16911908,-0.317025589,0.032429693,0.497454406,-1,0.785659995,-0.225629592
f94,0.907752629,0.73126297,-0.154636347,0.439595468,1,0.546446084,-0.519290113,0.346164214,-0.518375781,0.665018083,-0.008376942,-0.143051765,-0.154636347,0.555075278,-0.501177202,-0.596057402,-0.158787413
f95,-0.691778411,-0.663446666,-0.418994413,-0.81552666,-0.703069303,-0.72361529,0.094972067,-0.775553641,0.094972067,-0.822227209,-0.836131117,-1,-1,-0.684232329,0.56424581,1,-1
f96,0.564066574,0.441050102,-1,0.546292871,0.733154853,0.661062853,-1,0.457102379,-1,0.788422964,-0.400214864,-1,-1,0.25670182,-1,-1,-1
f97,0.282011004,0.181178678,-0.741704036,0.267442517,0.420606789,0.361515482,0.033183857,0.194336171,0.051121076,0.465908138,-0.315577159,-0.790134529,-0.757847534,0.030074799,-0.305829596,0.33632287,-0.777578475
f98,-0.997298792,-0.997511246,-0.336182975,-0.99655308,-0.997006769,-0.99652165,0.459806038,-0.996776789,0.539661407,-1,-0.99401095,-0.632746587,-0.440830227,-0.997894496,0.915547832,0.67578552,-0.564957816
f99,-0.895795064,-0.903990956,-0.303538883,-0.867027627,-0.884529666,-0.865815145,-0.206519767,-0.875657673,-0.221566714,-1,-0.195813755,-0.584662826,-0.424743675,-0.918775618,0.342806057,1,-0.536015064
f100,-0.824974868,-0.668245239,1,-1,-1,-1,0.568783069,-1,0.568783069,-1,-0.74042813,1,1,-0.561026805,0.568783069,0.933862434,1
f101,0.414454835,0.332371607,0.17769871,0.918174679,0.573194109,1,0.979741642,0.831797279,0.979741642,0.46367601,-0.721428688,0.17769871,0.17769871,0.974108227,0.979741642,0.840775288,0.17769871
f102,0.53026364,0.655932315,0.765237864,0.523333203,0.540470695,0.516995536,1,0.568414959,1,0.852790556,-0.484080344,0.765237864,0.765237864,-0.099140753,1,0.913806328,0.765237864
f103,0.68402251,0.760777561,-0.89156552,0.879140711,0.725707689,0.91409249,-0.79485891,0.866580223,-0.79485891,0.871524105,-0.480414497,-0.89156552,-0.89156552,0.61251035,-0.79485891,-0.802275377,-0.89156552
f104,-0.767486829,-0.597628404,-0.060139606,-1,-1,-1,0.814375976,-1,0.86925765,-1,-0.565109121,-0.060543837,-0.08903919,-0.385371863,0.426607184,-0.321290375,-0.038445878
f105,0.051700358,-0.031017648,-0.211195195,0.398545957,0.165397694,0.59340127,0.19636036,0.29633029,0.229813814,0.062021694,-0.733303682,-0.352108108,-0.236840841,1,0.272564565,-0.294594595,0.144432432
f106,-0.189216242,-0.115027059,0.133350695,0.079899688,0.043637843,0.333312211,0.821577099,0.366179355,0.898493964,0.107982497,-0.560389893,-0.028136364,0.133350695,-0.29822587,1,0.373158369,0.049695024
f107,0.315465961,0.346509963,0.199778346,0.691032611,0.511566797,1,0.95157367,0.8276728,0.984337768,0.489299561,-0.427335044,0.050537381,0.199778346,0.936173811,0.981185465,-0.223174394,0.172281821
f108,-0.458536597,-0.168539329,0.219983465,-1,-1,-1,0.721293404,-1,0.883520118,-1,-0.79294911,-0.041882234,0.219983465,-0.155893543,1,0.795253537,0.093491641
f109,-0.11874565,-0.188057797,-0.630167086,0.349446409,-0.023474878,0.69120694,-0.269714197,0.261865922,-0.240700688,0.8208783,-0.797809612,-0.717699485,-0.641604685,0.236436695,-0.014626687,0.947607274,-0.641168475
f110,-0.848780492,-0.860674159,-0.641781737,-0.742711905,-0.832432435,-0.723615285,0.232953229,-0.759410158,0.21111804,-0.776817857,-0.927718706,-0.735233853,-0.638975501,-0.882129279,-1,0.299670379,-0.694957684
f111,-0.445528464,-0.396254687,-0.253671919,-0.356779742,-0.553153147,-0.239942045,0.873384639,-0.398525417,0.923962368,-0.256059523,-0.812068639,-0.490523145,-0.253671919,-0.292775675,1,0.785377138,-0.375791054
f112,0.68402251,0.760777561,-0.382821305,0.879140711,0.725707689,0.91409249,-0.278311696,0.866580223,-0.269486268,0.871524105,-0.480414497,-0.230439267,-0.298361964,0.61251035,-0.39691441,-0.201508413,-0.348703673
f113,0.473247657,0.357374246,-0.017470688,0.777665153,0.632517674,0.840971843,-0.085709895,0.765721508,0.003596593,0.861114327,-0.457344952,0.299580149,0.124002399,0.148348934,-1,-0.512383164,0.039451525
f114,0.593083538,0.665693736,-1,0.777665153,0.632517674,0.840971843,0.996751622,0.765782944,0.98220088,0.861114327,-0.457344952,0.621477989,-1,0.525433109,0.849811168,0.000648749,0.29691937
f115,0.138312843,0.137187916,0.026534296,0.406588207,0.203390424,0.434725571,-0.12301444,0.259148533,-0.103610108,0.537858819,-0.586204254,-0.040703971,0.09666065,0.003333929,0.100631769,-0.056046931,0.049909747
f116,-0.180788017,-0.181202831,-0.61903722,-0.124631687,-0.187295872,-0.229387945,-0.868044662,-0.166420832,-0.865645474,-0.204251945,-0.842673398,-0.317892406,-0.484482175,-0.325762615,-0.846792181,-0.861829707,-0.353695672
f117,0.269784163,0.6498507,0.993802933,0.619221996,0.406417623,0.739167274,-0.137833092,0.514270735,-0.136696963,0.753852185,-0.963165671,0.541313778,0.849256352,0.400516954,-0.075655856,0.188287544,0.618932039
f118,0.324536261,0.260519694,-0.22433918,0.59509973,0.435009289,0.67494353,0.085578984,0.528487981,0.049522087,0.745261709,-0.936285343,0.041952153,-0.215886408,0.194641397,-0.19266936,0.213381167,0.043841732
f119,0.451135976,0.33780469,-1,0.682326319,0.576466888,0.767170391,0.417369297,0.667519673,0.415383755,0.876725602,-0.642938164,-0.572129703,-1,0.136604986,0.11755247,1,-0.544863459
f120,0.359356127,0.240146752,-0.37854576,0.668290591,0.503115517,0.753838969,-0.890997783,0.578264164,-0.89135255,0.870832305,-0.636599439,-0.079645233,-0.269893213,0.048881432,-0.891933665,-0.85391566,-0.163015521
f121,0.253228775,0.154801768,0.238508096,0.591900015,0.38815969,0.696980729,0.574344836,0.494816895,0.575498305,0.821142861,-0.543627526,0.22168774,0.240789682,-0.024944924,1,0.124365434,0.235123744
f122,0.377084867,0.269109294,0.142133857,0.689701824,0.522740741,0.776391597,-0.041556447,0.598428803,-0.02483147,0.895011029,-0.637383397,-0.004010581,0.136615752,0.072312731,0.218818443,1,0.032625082
f123,-0.173522873,-0.238661254,-0.077435684,0.023008449,-0.099791408,0.097048075,-0.819709442,-0.033355485,-0.816563346,0.16960703,-0.686078319,-0.195484582,-0.081892961,-0.356028121,-0.770730935,-0.809561984,-0.165891943
f124,1,-1,-0.045717553,-1,-1,-1,-0.12539737,-1,-0.123796455,-1,-1,-0.110211549,-0.045717553,-1,-0.118376215,-1,-0.082378502
f125,0.48646199,0.592514558,-0.088713911,-1,-1,-1,-0.093753281,-1,-1,-1,-1,-0.05343832,-0.053018373,0.535819955,-0.166404199,0.018372703,-0.05343832
f126,1,-1,0.469694815,-1,-1,-1,0.606153171,-0.998504702,0.626254607,-1,-1,-0.040410728,0.372625586,-1,0.924857805,1,0.054350347
f127,0.63753695,0.625494301,0.28971164,0.978575945,0.897110167,1,0.704845884,0.965561219,0.450477305,0.961818256,-0.407808297,-0.421438419,0.197566602,0.545404535,0.602842814,0.750570841,0.204658811
f128,-1,-1,0.802066589,-1,-1,-1,-0.046402368,-1,-0.033442647,-1,-1,-0.473903268,0.682889669,-1,0.521276689,1,0.455353103
f129,-1,-1,-0.692247263,-1,-1,-1,-0.174886224,-1,-0.171696648,-1,-1,-0.847827692,-0.760764081,-1,-0.150019344,-0.192547024,-0.821484157
f130,1,0.80146923,-0.691495601,0.295654893,0.640972636,-0.224403153,-0.165278592,0.118059876,-0.161524927,-0.331491116,-0.808341202,-0.837067449,-0.759530792,-0.387836128,-0.140175953,-0.186510264,-0.811554252
f131,0.662413639,0.498823165,0.255660049,0.064510541,0.348355436,-0.35168675,-0.409961686,-0.012716466,-0.441309648,-0.450755458,-0.842533807,0.269244166,0.456635319,-0.497045237,-0.500522466,-0.161267851,0.189132706
f132,-0.227582614,-0.125244542,-0.000551335,0.731882631,0.493148,1,0.121835475,0.843420244,0.250758671,0.930086152,-0.397126544,-0.439683089,-0.065349396,0.513011393,0.448437646,0.601677835,-0.076180981
f133,0.63753695,0.625494301,0.642723169,0.978575945,0.897110167,1,-0.172307424,0.965561219,-0.100905098,0.961818256,-0.407808297,-0.09488659,0.003123257,0.545404535,0.679947767,0.158810332,-0.078674445
f134,-0.090466178,0.000984115,-0.99468471,0.754780073,0.547853815,0.809532045,-0.971241979,0.742453133,-0.971964916,1,-0.248948068,-0.995942514,-0.995601777,0.574264174,-0.979438812,-0.990059612,-0.995880108
