,or4378,or4319,or2451,or4434,or2061,or1,or4323,or2095,or3866,or2236,or2059,or4324,or470,or2060,or4359,or2064,or4500,or4354,or1602,or1036,or3583,or753,or2114,or4325,or1319,or2055,or2090,or2080,or2111,or4030,or2734,or1766
f52,-0.986311516,-0.97636197,-0.991706889,-0.951532757,-0.539059436,0.021167719,-0.981449103,-0.889587754,-0.982474466,-0.564840462,-0.552696413,-0.976289314,-0.432622474,-0.800767954,-0.983248201,-0.878112816,-0.98950396,-0.980643368,-0.0840531,-0.195916758,-0.992221379,-0.364917896,-0.753785494,-0.978027338,-0.0840531,-0.710077394,-0.816817406,-0.53993671,-0.576601675,-0.99246086,-0.987749006,0.27757224
f53,-0.780227611,-0.595548093,-0.912680492,-0.553283162,-0.900536518,-0.705027072,-0.658703784,-0.737202285,-0.904926686,-0.940058901,-0.785770904,-0.706646751,-0.265174891,-0.881844526,-0.753559247,-0.948857205,-0.912821572,-0.821777277,-0.157211113,-0.14704407,-0.934126829,-0.248108394,-0.878412062,-0.673193708,-0.157211113,-0.860751147,-0.859936235,-0.838277998,-0.977034656,-0.908231005,-0.903090459,0.173963635
f54,-1,-0.617624919,-0.774657902,0.991870879,-0.893143557,-0.383262732,-0.58050957,-0.905621406,-0.695570155,-0.911288785,-0.874539424,0.427869741,-0.054901572,-0.851243421,-0.925780348,-0.938298701,-0.322143334,-0.630823406,0.049745779,0.066306802,-0.340643919,-0.013487456,-0.471858195,-0.599991439,0.049745779,-0.795108973,-0.948916277,-0.845823382,-0.967037078,-0.73272368,-0.79534032,0.973353096
f55,-1,-1,-1,-1,-0.91575902,-0.326639437,-1,-0.850124801,-1,-0.786078965,-0.789596097,-1,-0.21102791,-0.917347402,-1,-0.882629907,-1,-1,-0.21102791,-0.21102791,-1,-0.21102791,-0.807522124,-1,-0.21102791,-0.806047198,-0.847742228,-0.844735648,-0.85619469,-1,-1,0.620660313
f56,-1,-1,-1,-1,-0.862175737,-0.241596169,-1,-0.882596521,-1,-0.807535074,-0.901010437,-1,-0.114433018,-0.914758534,-1,-0.908553442,-1,-1,-0.013234475,0.016367582,-1,-0.157965597,-0.885949926,-1,-0.022902465,-0.906606944,-0.89334069,-0.773098273,-0.766637822,-1,-1,0.696286253
f57,-1,-1,-1,-1,-0.808585565,-0.193824452,-1,-0.715555851,-1,-0.710999319,-0.845178664,-1,-0.299358553,-0.830861831,-1,-0.821014278,-1,-1,-0.130339034,-0.271700571,-1,-0.324006406,-0.75184936,-1,-0.196555943,-0.79987572,-0.741639363,-0.757496613,-0.733607928,-1,-1,1
f58,-1,-1,-1,-1,-0.897395712,-0.209141273,-1,-0.928269392,-1,-0.630494095,-0.889116809,-1,-0.524206257,-0.924255767,-1,-0.900912092,-0.967611449,-1,-0.322479443,-0.437085549,-1,-0.525314031,-0.804443239,-1,-0.382622407,-0.870684758,-0.876948479,-0.669499944,-0.742735839,-1,-1,0.791251843
f59,-1,-0.981395191,-0.978992947,-1,-0.874941417,0.275851682,-1,-0.895719985,-1,-0.584507935,-0.83144923,-1,-0.250990412,-0.887695666,-1,-0.864477033,-0.998386217,-0.99379275,-0.151130159,0.665031794,-0.998680142,0.037538156,-0.751917297,-1,-0.050017334,-0.78287282,-0.836392284,-0.571146514,-0.687080994,-0.968057388,-0.998624783,0.76401111
f60,-1,-0.981395191,-0.978992947,-1,-0.959067882,-0.523886326,-1,-0.84518448,-1,-0.930967546,-0.965435891,-1,-0.350303138,-0.982439501,-1,-0.98099648,-0.997534498,-0.99379275,-0.268089046,-0.2948175,-0.998680142,-0.352155298,-0.94769335,-1,-0.309031925,-0.972266666,-0.96649677,-0.842426487,-0.810985549,-0.968057388,-0.998624783,0.95412885
f61,-1,-0.828851643,-0.907165674,-1,-0.788639702,-0.157462162,-1,-0.895686984,-0.914054741,-0.375823985,-0.729951541,-1,-0.456070137,-0.770107971,-1,-0.896714639,-0.688245981,-0.600290201,-0.225748574,-0.266151821,-0.735583724,-0.406532938,-0.674547387,-1,-0.225748574,-0.744956195,-0.703800102,-0.434376967,-0.706643185,-0.806583192,-0.790090005,-0.083472154
