,or1320,or3584,or754,or68,or3867,or3301,or1037,or2735,or3018,or1886,or4313,or4150,or1603,or471
f102,0.765237864,0.540470695,0.765237864,1,0.53026364,0.568414959,0.765237864,0.516995536,0.523333203,0.765237864,-0.741511406,0.655932315,0.765237864,0.765237864
f103,-0.89156552,0.725707689,-0.89156552,-0.79485891,0.68402251,0.866580223,-0.89156552,0.91409249,0.879140711,-0.89156552,-0.428700416,0.760777561,-0.89156552,-0.89156552
f104,-0.003236777,-1,-0.038445878,0.814375976,-0.767486829,-1,-0.005837915,-1,-1,-0.060139606,-0.7243397,-0.597628404,-0.08903919,-0.067696967
f105,-0.277189189,0.165397694,0.144432432,0.19636036,0.051700358,0.29633029,-0.285777778,0.59340127,0.398545957,-0.211195195,-0.20326417,-0.031017648,-0.236840841,0.095543544
f106,0.133350695,0.043637843,0.049695024,0.821577099,-0.189216242,0.366179355,0.097622105,0.333312211,0.079899688,0.133350695,-0.414028004,-0.115027059,0.133350695,-0.017822102
f107,0.199778346,0.511566797,0.172281821,0.95157367,0.315465961,0.8276728,0.184232029,1,0.691032611,0.199778346,-0.004426535,0.346509963,0.199778346,0.090545075
f108,0.219983465,-1,0.093491641,0.721293404,-0.458536597,-1,0.14722855,-1,-1,0.219983465,-0.899045056,-0.168539329,0.219983465,-0.045203932
f109,-0.667303607,-0.023474878,-0.641168475,-0.269714197,-0.11874565,0.261865922,-0.683544573,0.69120694,0.349446409,-0.642618796,-0.507074678,-0.188057797,-0.641604685,-0.681915112
f110,-0.67369265,-0.832432435,-0.694957684,0.232953229,-0.848780492,-0.759410158,-0.691545657,-0.723615285,-0.742711905,-0.634993318,-0.92951342,-0.860674159,-0.638975501,-0.727982183
f111,-0.253671919,-0.553153147,-0.375791054,0.873384639,-0.445528464,-0.398525417,-0.313868521,-0.239942045,-0.356779742,-0.253671919,-0.760345614,-0.396254687,-0.253671919,-0.443029539
f112,-0.256073457,0.725707689,-0.348703673,-0.278311696,0.68402251,0.866580223,-0.331676114,0.91409249,0.879140711,-0.348503263,-0.428700416,0.760777561,-0.298361964,-0.28806747
f113,0.113355631,0.632517674,0.039451525,-0.085709895,0.473247657,0.765721508,0.036911498,0.840971843,0.777665153,0.045884836,-0.546869689,0.357374246,0.124002399,0.219861729
f114,-1,0.632517674,0.29691937,0.996751622,0.593083538,0.765782944,0.293747451,0.840971843,0.777665153,-1,-0.459551189,0.665693736,-1,0.52201367
f115,0.075812274,0.203390424,0.049909747,-0.12301444,0.138312843,0.259148533,0.068411552,0.434725571,0.406588207,0.069404332,-0.3850531,0.137187916,0.09666065,0.037545126
f116,-0.428604984,-0.187295872,-0.353695672,-0.868044662,-0.180788017,-0.166420832,-0.38451601,-0.229387945,-0.124631687,-0.519391746,-0.813001125,-0.181202831,-0.484482175,-0.316600535
f117,0.720977071,0.406417623,0.618932039,-0.137833092,0.269784163,0.514270735,0.637884735,0.739167274,0.619221996,1,-0.951907623,0.6498507,0.849256352,0.579735592
f118,-0.132028568,0.435009289,0.043841732,0.085578984,0.324536261,0.528487981,-0.04745052,0.67494353,0.59509973,-0.219123475,-0.874554953,0.260519694,-0.215886408,0.019939324
f119,-0.50104171,0.576466888,-0.544863459,0.417369297,0.451135976,0.667519673,-1,0.767170391,0.682326319,-1,-0.569253985,0.33780469,-1,-0.553309003
f120,-0.232297636,0.503115517,-0.163015521,-0.890997783,0.359356127,0.578264164,-0.207627494,0.753838969,0.668290591,-0.245086621,-0.541847009,0.240146752,-0.269893213,-0.126119734
f121,0.240295339,0.38815969,0.235123744,0.574344836,0.253228775,0.494816895,0.240295339,0.696980729,0.591900015,0.240941788,-0.435047328,0.154801768,0.240789682,0.225680515
f122,0.114315783,0.522740741,0.032625082,-0.041556447,0.377084867,0.598428803,0.09457576,0.776391597,0.689701824,0.137298404,-0.579073866,0.269109294,0.136615752,0.009756236
f123,-0.099905871,-0.099791408,-0.165891943,-0.819709442,-0.173522873,-0.033355485,-0.115850974,0.097048075,0.023008449,-0.081341545,-0.628060841,-0.238661254,-0.081892961,-0.184364367
f124,-0.047707261,-1,-0.082378502,-0.12539737,1,-1,-0.071698113,-1,-1,-0.045717553,-1,-1,-0.045717553,-0.101955403
f125,-0.052808399,-1,-0.05343832,-0.093753281,0.48646199,-1,-0.053018373,-1,-1,-0.055538058,-1,0.592514558,-0.053018373,-0.05343832
f126,0.24591679,-1,0.054350347,0.606153171,1,-0.998504702,0.155633854,-1,-1,0.401042235,-1,-1,0.372625586,-0.014418603
f127,0.137266641,0.897110167,0.204658811,0.704845884,0.63753695,0.965561219,0.081146157,1,0.978575945,0.243589648,-0.389285472,0.625494301,0.197566602,0.039957446
f128,0.585019365,-1,0.455353103,-0.046402368,-1,-1,0.505564378,-1,-1,0.741385434,-0.897624158,-1,0.682889669,0.437227719
f129,-0.790297192,-1,-0.821484157,-0.174886224,-1,-1,-0.808022965,-1,-1,-0.748950836,-1,-1,-0.760764081,-0.834301527
f130,-0.782991202,0.640972636,-0.811554252,-0.165278592,1,0.118059876,-0.798475073,-0.224403153,0.295654893,-0.739002933,-0.704242264,0.80146923,-0.759530792,-0.82457478
f131,0.32149077,0.348355436,0.189132706,-0.409961686,0.662413639,-0.012716466,0.280738419,-0.35168675,0.064510541,0.342041101,-0.757006487,0.498823165,0.456635319,0.220480669
f132,-0.080750117,0.493148,-0.076180981,0.121835475,-0.227582614,0.843420244,-0.073148333,1,0.731882631,-0.019126866,-0.395153705,-0.125244542,-0.065349396,-0.078372268
f133,-0.012020099,0.897110167,-0.078674445,-0.172307424,0.63753695,0.965561219,-0.062295655,1,0.978575945,0.180689415,-0.405870413,0.625494301,0.003123257,-0.071527046
f134,-0.995472818,0.547853815,-0.995880108,-0.971241979,-0.090466178,0.742453133,-0.995567012,0.809532045,0.754780073,-0.995263591,-0.221202628,0.000984115,-0.995601777,-0.995876387
f135,-0.998972222,0.81691754,-0.998568376,-0.973717949,0.704675464,0.805871508,-0.998534188,0.814959514,0.931208996,-0.999450855,-0.26355611,0.649115319,-0.998935897,-0.998504274
f136,0.253193842,-0.187714991,0.356925589,0.273804525,-0.418625276,-0.125304261,0.307013763,-0.133764926,-0.129106192,0.22415582,-0.703088181,-0.41777324,0.24396781,0.386330767
f137,-0.45048203,-0.103685508,-0.509242994,-0.174749441,-0.191130825,-0.064980425,-0.473458547,-0.06446613,-8.49E-05,-0.343289902,-0.703088181,-0.231460677,-0.422474959,-0.530890735
f138,-0.99972962,-0.417948519,-0.99972962,-0.994051643,-0.589281103,-0.315474044,-0.99972962,-1,-0.081490984,-0.99972962,-0.891823194,-0.547862771,-0.99972962,-0.99945924
f139,0.36377283,0.241201655,0.477858394,0.119589692,0.111267935,0.276718421,0.414560921,-1,0.004604002,0.240180135,-0.487445156,0.155918879,0.328996748,0.516137103
f140,-0.134781692,0.335413597,-0.230963932,0.066652605,0.390902173,0.351561715,-0.177810588,-1,0.407544279,-0.030373339,-0.365090654,0.518582583,-0.105673908,-0.26344653
f141,-0.998972222,0.269108066,-0.998568376,-0.973717949,0.17144266,0.321391322,-0.998534188,-1,0.258808778,-0.999450855,-0.484115391,0.249350223,-0.998935897,-0.998504274
f142,-0.967404674,0.869908778,-0.968446084,-0.995899959,0.627558464,0.957200818,-0.966445264,1,0.970786722,-0.969749897,-0.389584933,0.609765102,-0.9700451,-0.967199672
f143,0.807776172,-0.866777933,1,0.690351134,-0.879588813,-0.84430916,0.914584447,-0.837140227,-0.840472427,0.714660413,-0.97136001,-0.874135606,0.789459977,0.977447302
f144,-0.687184116,0.209241015,-0.685613718,0.05234657,0.094108149,-0.020377633,-0.677779783,-0.074908622,-0.052984955,-0.60967509,-0.522429895,0.073533276,-0.619458484,-0.637184116
f145,-0.649006489,0.07928653,-0.677032231,-0.480268057,0.026402316,0.110094793,-0.67398681,-0.287533964,0.170421219,-0.591310499,-0.938924131,1,-0.648479949,-0.581959366
f146,-0.266007173,-0.234404324,-0.232758518,0.134488942,-0.261448074,-0.230406808,-0.222674836,0.691206954,0.574354186,-0.203135087,-0.998572216,0.357791368,-0.216440526,-0.368200837
f147,-0.570251801,0.45018294,-0.691153037,-0.800961669,0.36711583,0.540828883,-0.686175915,0.685380417,0.629135866,-0.382541196,-0.554507034,0.642020807,-0.551951914,-0.709008289
f148,-0.507451813,0.491196721,-0.562645835,0.016218052,0.342683227,0.536452449,-0.544783901,0.591933793,0.528351586,-0.489988962,-0.597222047,0.216879821,-0.524700688,-0.572047211
f149,-0.675354379,0.176243159,-0.680411637,-0.376973073,0.082067411,0.257904758,-0.673153822,0.403307743,0.321915156,-0.624156608,-0.714612249,-0.027793407,-0.670971835,-0.699783349
f150,-0.67407906,-0.29140708,-0.714393836,-0.086194275,-0.349587458,-0.249649627,-0.692516471,-0.149110144,-0.206532667,-0.445788925,-0.85013015,-0.420994099,-0.698472027,-0.669652717
f151,-0.138813615,-1,-0.283867253,-0.358916231,-1,-1,-0.180298484,-1,-1,0.113638425,-0.747969894,-1,-0.077020732,-0.296916682
f152,-0.347169747,-0.999855365,-0.483273384,-0.609831255,-0.999940671,-1,-0.343046012,-0.996340271,-1,-0.342921394,-0.876878332,-1,-0.296728768,-0.515801041
f153,-0.739013789,-1,-0.782145691,-0.658927224,-1,-1,-0.757277776,-1,-1,-0.63767641,-0.917646162,-1,-0.712517204,-0.780519808
f154,-0.806492783,0.339175268,-0.800709214,-0.003222966,-0.01537282,0.164255925,-0.784085493,0.572920248,0.158661359,-0.756863949,-0.816430884,-0.222523147,-0.788415092,-0.801290802
f155,-0.956826218,0.006183098,-0.959161276,-0.928848642,-0.435631091,-0.412526489,-0.955120742,-0.070340893,-0.144966006,-0.945010781,-0.943405665,-0.415930229,-0.947772747,-0.958818456
f156,-0.655480969,0.006183989,-0.6783792,-0.027728327,-0.435630726,-0.412526489,-0.6665063,-0.070318366,-0.144966006,-0.563328789,-0.944163545,-0.415930229,-0.615426433,-0.675562078
f157,-0.62883676,-0.999302671,-0.623260489,0.068529112,-0.370703103,-1,-0.632058333,-1,-1,-0.558558531,-0.922787145,-0.420198364,-0.590011896,-0.640339741
