,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f922,-0.455863272,-0.938884886,-0.606927163,-0.525165013,-0.965543177,-0.963837418,-0.536618597,-0.429409544,-0.527117179,-0.914572864,-0.971112254,-0.96322385,-0.79485891,-0.70318917,-0.79485891,-0.604679501,-0.791236954,-0.93510116,-0.79485891,-0.466442629,-0.685035202,-0.207912365
f923,-0.65128704,-0.646273196,-0.931565082,-0.597815837,-0.52946833,-0.539488898,-0.737581027,-0.552062361,-0.596874304,-0.199423035,-0.676571485,-0.590797562,1,-0.968078994,1,-0.703139051,0.785217945,-0.092806637,1,-0.747815666,-0.630366954,-0.365015282
f924,-0.335014665,-0.651440844,-0.265779432,-0.593586662,-0.626459809,-0.695312583,-0.376326754,-0.418244489,-0.610796874,-0.455075809,-0.755873962,-0.803485378,0.979741642,-0.467428325,0.979741642,-0.57913789,0.173382056,-0.39402293,0.979741642,-0.328740743,-0.830632635,-0.22347882
f925,-0.97228,-0.666666667,-1,-0.885824758,-0.391534392,-0.772486772,-1,-0.958433144,-0.861315466,-0.412698413,-0.751322751,-0.759259259,0.568783069,-0.900574958,0.568783069,-0.97088241,-0.714285714,-0.476190476,0.568783069,-0.765892124,-1,-0.914336393
f926,-0.919054427,-0.677794957,-0.864526003,-0.378845748,-0.607811974,-0.663991846,-0.988233597,-0.430738395,-0.278954587,-0.286056093,-0.781897021,-0.75275328,0.173126258,-0.859851187,-0.146124677,-0.990289994,0.013569892,-0.638303202,0.129574764,-1,-0.99204169,-0.869790307
f927,-0.999834121,-0.654076856,-1,-0.994407016,-0.281161533,-0.482201418,-0.99969499,-0.995089501,-0.994457322,0.160915996,-0.71721277,-0.598186507,0.624519999,-0.996367052,0.64670516,-0.999923316,0.274490568,-0.502060151,0.777587802,-1,-0.999796694,-0.996624695
f928,-0.656294201,-0.788340807,-0.271389773,-0.323748896,-0.673542601,-0.793721973,-0.750370372,-0.326815946,-0.324414373,-0.269955157,-0.87264574,-0.748878924,-0.348878924,-0.827720069,0.078026906,-0.796909464,-0.517488789,-0.772197309,0.176681614,-0.761956957,-0.83226318,-0.72898055
f929,-0.590449866,-0.854014599,-0.111855346,-0.651454392,-0.080291971,0.255474453,-0.701906198,-0.65120527,-0.336266591,-1,-0.167883212,-0.503649635,-1,-0.789816718,-1,-0.79167512,-1,-0.854014599,-1,-0.709585046,-0.795359359,-0.669353491
f930,-0.88591649,-0.575418994,-0.900513709,-0.829149903,-0.910614525,-0.675977654,-0.76824142,-0.735757933,-0.832628921,-0.061452514,-0.709497207,-0.530726257,0.094972067,-0.918137052,0.094972067,-0.825907888,-1,-0.74301676,0.094972067,-0.697664595,-0.877158476,-0.735785056
f931,-0.424083622,-0.806893147,-0.71180989,0.102443273,-0.78851508,-0.742560769,-0.237748129,0.190048631,-0.012452577,-1,-0.913312212,-0.886750877,-0.501177202,-0.682034568,-0.501177202,-0.592470205,-0.768792945,-0.901471617,-0.501177202,0.107149921,-0.838846651,0.387676142
